,phase,power,round,model,reasoning,orders,invalid_orders,messages,system_prompt,user_prompt
0,S1901M,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F ANK - BLA', 'A CON - BUL', 'A SMY - ARM']",[],[],,
1,S1901M,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F EDI - NTH', 'F LON - ENG', 'A LVP - WAL']",[],[],,
2,S1901M,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A MUN - SIL', 'A BER - KIE', 'F KIE - DEN']",[],[],,
3,S1901M,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F NAP - ION'],[],[],,
4,S1901M,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A BUD - SER', 'F TRI - ALB']",[],[],,
5,S1901M,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A WAR - SIL', 'F SEV - ARM', 'F STP/SC - BOT']",[],[],,
6,S1901M,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A PAR - BUR', 'F BRE - ENG', 'A MAR - SPA']",[],[],,
0,F1901M,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F DEN - SWE', 'A KIE - HOL']",[],[],,
1,F1901M,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A WAR - GAL', 'F BOT - SWE', 'F SEV - RUM']",[],[],,
2,F1901M,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F ION - TUN'],[],[],,
3,F1901M,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F BLA - RUM', 'A SMY - ARM', 'A BUL - GRE']",[],[],,
4,F1901M,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A BUR - BEL', 'F BRE - MAO', 'A SPA - POR']",[],[],,
5,F1901M,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F NTH - NWY', 'F LON - NTH']",[],[],,
6,F1901M,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A SER S F ALB - GRE', 'F ALB - GRE']",[],[],,
0,W1901A,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
1,W1901A,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F BER B', 'A KIE B']",[],[],,
2,W1901A,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
3,W1901A,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
4,W1901A,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
5,W1901A,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
6,W1901A,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
0,S1902M,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F NTH - DEN', 'A WAL - YOR']",[],[],,
1,S1902M,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F MAO - ENG', 'A BEL - BUR', 'A POR - SPA']",[],[],,
2,S1902M,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F BLA C A ARM - RUM', 'A BUL S A ARM - RUM']",[],[],,
3,S1902M,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F TUN - ION'],[],[],,
4,S1902M,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A GAL - RUM', 'F SEV S A GAL - RUM']",[],[],,
5,S1902M,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A SER - BUL', 'F GRE S A SER - BUL']",[],[],,
6,S1902M,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A MUN - BUR', 'F BER - BAL', 'F DEN - SKA', 'A HOL - BEL', 'A KIE - DEN']",[],[],,
0,S1902R,TURKEY,1,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
0,F1902M,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F NTH - SKA', 'F NWY S F NTH - SKA']",[],[],,
1,F1902M,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F BOT - SWE', 'F SEV S A RUM']",[],[],,
2,F1902M,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
3,F1902M,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F ENG S A BEL', 'A BEL S A YOR - HOL']",[],[],,
4,F1902M,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A MUN - BUR', 'F BAL - SWE', 'F SKA S F BAL - SWE', 'A HOL - BEL', 'A KIE - DEN']",[],[],,
5,F1902M,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
6,F1902M,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F ION - GRE'],[],[],,
0,W1902A,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
1,W1902A,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
2,W1902A,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
3,W1902A,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
4,W1902A,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['A MUN B'],[],[],,
5,W1902A,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
6,W1902A,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
0,S1903M,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F ION - GRE', 'A VEN - TYR']",[],[],,
1,S1903M,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
2,S1903M,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F SKA - NTH'],[],[],,
3,S1903M,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A VIE - TYR', 'F GRE - ION']",[],[],,
4,S1903M,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['A SPA - GAS'],[],[],,
5,S1903M,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['A RUM - SER'],[],[],,
6,S1903M,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A MUN - BUR', 'F BAL S A DEN - SWE', 'A DEN - SWE', 'A HOL - BEL']",[],[],,
0,F1903M,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A SER - RUM', 'F BOT - SWE', 'F SEV - BLA']",[],[],,
1,F1903M,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F ENG S A BEL', 'A BEL S A YOR - HOL']",[],[],,
2,F1903M,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F NTH - DEN'],[],[],,
3,F1903M,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A MUN - BUR', 'F BAL - DEN', 'A HOL - BEL', 'A SWE - NWY']",[],[],,
4,F1903M,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['A BUL - SER'],[],[],,
5,F1903M,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
6,F1903M,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F ION - GRE'],[],[],,
0,W1903A,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
1,W1903A,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['A BER B'],[],[],,
2,W1903A,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
3,W1903A,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
4,W1903A,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
5,W1903A,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
6,W1903A,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
0,S1904M,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F ENG S A BEL', 'A GAS - BUR', 'A BEL S A YOR - HOL']",[],[],,
1,S1904M,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A MOS S F BOT - LVN', 'F BOT - LVN', 'F SEV S F BLA']",[],[],,
2,S1904M,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A MUN - SIL', 'F BAL C A BER - LVN', 'A HOL - BEL']",[],[],,
3,S1904M,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A VIE - TYR', 'F GRE - ION']",[],[],,
4,S1904M,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F NTH C A YOR - DEN', 'F NWY - SWE']",[],[],,
5,S1904M,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
6,S1904M,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F ION - AEG', 'A VEN - TYR']",[],[],,
0,F1904M,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A SER - BUL', 'F ION - GRE']",[],[],,
1,F1904M,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F ENG S A BEL', 'A BEL S A YOR - HOL']",[],[],,
2,F1904M,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F BAL - DEN', 'A BER - PRU', 'A HOL - BEL', 'A SWE - FIN']",[],[],,
3,F1904M,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F SEV S A RUM'],[],[],,
4,F1904M,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
5,F1904M,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F NTH C A YOR - DEN'],[],[],,
6,F1904M,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F BLA - BUL/EC'],[],[],,
0,W1904A,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
1,W1904A,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
2,W1904A,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
3,W1904A,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
4,W1904A,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
5,W1904A,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
6,W1904A,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
0,S1905M,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F DEN - BAL', 'A HOL - BEL']",[],[],,
1,S1905M,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F NTH C A YOR - DEN'],[],[],,
2,S1905M,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F ENG S A BEL', 'A GAS - BUR', 'A BEL S A YOR - HOL']",[],[],,
3,S1905M,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
4,S1905M,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['A SER - BUL', 'A VIE - TYR', 'F GRE - ION']",[],[],,
5,S1905M,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F SEV S A RUM'],[],[],,
6,S1905M,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F AEG - ION', 'A VEN - TYR']",[],[],,
0,F1905M,AUSTRIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F GRE - ION'],[],[],,
1,F1905M,GERMANY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F BAL - DEN', 'A HOL - BEL']",[],[],,
2,F1905M,FRANCE,3,NoPressAgent(key=33),Orders from no-press baseline policy.,"['F ENG S A BEL', 'A BEL S A YOR - HOL']",[],[],,
3,F1905M,ENGLAND,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F NTH C A YOR - DEN'],[],[],,
4,F1905M,TURKEY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
5,F1905M,ITALY,3,NoPressAgent(key=33),Orders from no-press baseline policy.,[],[],[],,
6,F1905M,RUSSIA,3,NoPressAgent(key=33),Orders from no-press baseline policy.,['F SEV S A RUM'],[],[],,
