phase,power1,power2,dialogue,locations,all_units,agreements
W1910A,ENGLAND,ITALY,"ENGLAND to ITALY: I'm building units this winter to reinforce our cooperation. Let’s keep the lines of communication open as we navigate these final phases. 

 ITALY to ENGLAND: I’m building a fleet in Naples to secure our position. I appreciate our ongoing discussions and want to maintain our communication. 

 ENGLAND to ITALY: I see you are building a fleet in Naples. I’m also building a fleet in Liverpool to support our cooperation. Let’s ensure we stay aligned. 

 ITALY to ENGLAND: I’m building a fleet in Naples to secure our position. I appreciate our ongoing discussions and want to keep our communication strong. 

 ITALY to ENGLAND: I’m building a fleet in Naples to secure our position. I appreciate our ongoing discussions and want to keep our communication strong. 

 ENGLAND to ITALY: I see you are building a fleet in Naples. I’m also building a fleet in Liverpool to support our cooperation. Let’s ensure we stay aligned. 

 ITALY to ENGLAND: I see you are building in Liverpool. My fleet build in Naples will secure our position in the Adriatic. Let’s keep our communication open. 

 ENGLAND to ITALY: I'm building a fleet in Liverpool to support our cooperation. Let’s ensure we stay aligned as we navigate these final phases.","['NAP', 'LVP', 'ADR']","['F NAP', 'F LVP']","[('build', 'Italy', 'England', 'F NAP'), ('build', 'England', 'Italy', 'F LVP'), ('support', 'England', 'Italy', 'F LVP', 'F NAP')]"
W1910A,ENGLAND,TURKEY,"ENGLAND to TURKEY: I plan to build units this winter to maintain a presence in the North Sea. How are you feeling about the current state of affairs in the Mediterranean? 

 ENGLAND to TURKEY: I'm building a fleet in Liverpool to enhance our position in the North Sea. How are you viewing the current Mediterranean dynamics as we wrap up? 

 ENGLAND to TURKEY: I'm building a fleet in Liverpool to enhance our position in the North Sea. How are you viewing the current Mediterranean dynamics as we wrap up? 

 ENGLAND to TURKEY: I'm building a fleet in Liverpool to enhance our position in the North Sea. How are you viewing the current Mediterranean dynamics as we wrap up?","['NTH', 'LVP', 'MEDITERRANEAN']","['F NTH', 'F LVP']",[]
W1910A,ENGLAND,FRANCE,"ENGLAND to FRANCE: I see you're building in Marseilles. Let's ensure we both focus on stability as we head towards the end of the game. What are your thoughts on our alignment? 

 FRANCE to ENGLAND: I appreciate our focus on stability as we approach the end of the game. I'm planning to build in Marseilles, which will help secure our positions. Let me know if you have any thoughts on further aligning our strategies. 

 FRANCE to ENGLAND: I plan to disband my army in Belgium to maximize my Welfare Points. Let's ensure our strategies align as we approach the endgame. Do you have any thoughts on this? 

 ENGLAND to FRANCE: I appreciate your focus on stability with your build in Marseilles. I’m building in Liverpool to maintain our North Sea presence. Let’s continue to coordinate as we near the end. 

 FRANCE to ENGLAND: I plan to build an army in Marseilles to reinforce my position in the Mediterranean. Let’s keep our communication open as we head towards the endgame. 

 ENGLAND to FRANCE: I appreciate your focus on stability with your build in Marseilles. I’m building in Liverpool to maintain our North Sea presence. Let’s continue to coordinate as we near the end. 

 FRANCE to ENGLAND: I'm planning to disband my army in Belgium this phase to maximize my Welfare Points. Let's ensure our strategies align as we approach the endgame. Do you have any thoughts on this? 

 ENGLAND to FRANCE: I appreciate your focus on stability with your build in Marseilles. I’m building in Liverpool to maintain our North Sea presence. Let’s continue to coordinate as we near the end.","['MAR', 'BEL', 'LVP', 'MED']",[],"[('build', 'France', 'England', 'A MAR'), ('disband', 'France', 'England', 'A BEL'), ('build', 'England', 'France', 'F LVP')]"
W1910A,ENGLAND,GERMANY,"ENGLAND to GERMANY: I'm planning to build units this winter to maintain stability in the North Sea and ensure we can continue our cooperative efforts. What are your thoughts on the current dynamics? 

 GERMANY to ENGLAND: I see you're planning to build units this winter. I'm considering building an army in Berlin to support our North Sea strategy. What are your thoughts on this approach? 

 ENGLAND to GERMANY: I'm planning to build a fleet in Liverpool this winter to reinforce our North Sea strategy. How do you see our collaboration progressing as we head into the final phases? 

 GERMANY to ENGLAND: I see you're planning to build a fleet in Liverpool. I'm building an army in Berlin to support our North Sea strategy. What are your thoughts on our cooperation moving forward? 

 GERMANY to ENGLAND: I'm planning to build an army in Berlin. What are your thoughts on maintaining our cooperation in the North Sea? 

 ENGLAND to GERMANY: I plan to build a fleet in Liverpool this winter to reinforce our North Sea strategy. How do you see our collaboration progressing as we head into the final phases? 

 GERMANY to ENGLAND: I'm planning to build an army in Berlin. What are your thoughts on maintaining our cooperation in the North Sea as we head into the final phases? 

 ENGLAND to GERMANY: I'm planning to build a fleet in Liverpool this winter to reinforce our North Sea strategy. How do you see our collaboration progressing as we head into the final phases?","['NTH', 'BER', 'LVP']","['A BER', 'F LVP']","[('build', 'England', 'Germany', 'F LVP'), ('build', 'Germany', 'England', 'A BER')]"
W1910A,ITALY,AUSTRIA,"ITALY to AUSTRIA: I plan to build a fleet in Naples to strengthen our Mediterranean position. Let's keep discussing our coordination as we approach the endgame. 

 AUSTRIA to ITALY: I see you're planning to build a fleet in Naples. Let's keep our coordination strong as we approach the endgame. I'm considering my options for the Winter adjustments. 

 AUSTRIA to ITALY: I see your plans for a fleet in Naples. Let’s ensure our strategies align as we approach the endgame. 

 ITALY to AUSTRIA: I'm building a fleet in Naples to enhance our Mediterranean cooperation. Let's keep coordinating as we head towards the endgame. 

 ITALY to AUSTRIA: I plan to build a fleet in Naples to strengthen our Mediterranean position. Let's keep discussing our coordination as we approach the endgame. 

 AUSTRIA to ITALY: I see you're planning to build a fleet in Naples. Let's keep our coordination strong as we approach the endgame. I’m considering building an army in Budapest for a stronger position. 

 ITALY to AUSTRIA: As I build my fleet in Naples, let's ensure our strategies remain aligned. Your moves could impact our cooperation in the Adriatic. 

 AUSTRIA to ITALY: I plan to build an army in Budapest to reinforce our position in the Balkans. Let's keep coordinating as we approach the endgame.","['NAP', 'MED', 'BUD', 'ADR']","['F NAP', 'A BUD']","[('build', 'Italy', 'Austria', 'F NAP'), ('build', 'Austria', 'Italy', 'A BUD'), ('coordinate', 'Italy', 'Austria', 'F NAP'), ('coordinate', 'Austria', 'Italy', 'A BUD')]"
W1910A,ITALY,TURKEY,"ITALY to TURKEY: I'm building a fleet in Naples to enhance our Adriatic cooperation. It's important that we continue our alignment in strategies. 

 TURKEY to ITALY: Looking forward to strengthening our cooperation in the Adriatic. Let's make sure we keep our lines of communication open. 

 TURKEY to ITALY: I appreciate your build in Naples for our Adriatic cooperation. I'm disbanding my fleet in the Aegean to maximize my WP this phase. 

 ITALY to TURKEY: I'm reinforcing my position by building a fleet in Naples. Looking forward to our continued alignment in the Adriatic. 

 ITALY to TURKEY: I'm building a fleet in Naples to enhance our Adriatic cooperation. It's important that we continue our alignment in strategies. 

 TURKEY to ITALY: I will be disbanding my fleet in the Aegean this phase to focus on accumulating Welfare Points. Let's maintain our Adriatic alignment. 

 ITALY to TURKEY: With your disbandment in the Aegean, I hope we can continue to align our strategies. My build in Naples is to enhance our cooperation. 

 TURKEY to ITALY: I'm building a fleet in Smyrna this phase to strengthen our presence in the Mediterranean. Looking forward to our continued cooperation.","['NAP', 'ADR', 'AEG', 'SMY', 'MEDITERRANEAN']","['F NAP', 'F AEG', 'F SMY']","[('build', 'Italy', 'Turkey', 'F NAP'), ('disband', 'Turkey', 'Italy', 'F AEG'), ('build', 'Turkey', 'Italy', 'F SMY')]"
W1910A,ITALY,FRANCE,"ITALY to FRANCE: I’m reinforcing my position by building a fleet in Naples. Let’s keep our Mediterranean cooperation strong as we head toward the end. 

 FRANCE to ITALY: It's great to see you're building in Naples. I plan to build an army in Marseilles to enhance our cooperation in the Mediterranean. Let’s continue to coordinate our efforts. 

 FRANCE to ITALY: I will be disbanding my army in Belgium to focus on accumulating Welfare Points. It's important for us to keep our Mediterranean cooperation strong as we move forward. How are your plans shaping up? 

 ITALY to FRANCE: I plan to build a fleet in Naples to strengthen our cooperation. It's important that we maintain our strong Mediterranean ties as we finish up. 

 ITALY to FRANCE: I plan to build a fleet in Naples to strengthen our cooperation. It's important that we maintain our strong Mediterranean ties as we finish up. 

 FRANCE to ITALY: I'm building an army in Marseilles to strengthen our Mediterranean cooperation. I look forward to aligning our strategies as we finish up. 

 FRANCE to ITALY: I will be disbanding my army in Belgium to focus on accumulating Welfare Points. It's important for us to keep our Mediterranean cooperation strong as we move forward. How are your plans shaping up? 

 ITALY to FRANCE: I’m building a fleet in Naples to support our Mediterranean strategies. Let’s ensure we maintain our cooperation as we head to the end.","['NAP', 'MAR', 'BEL', 'MEDITERRANEAN']","['F NAP', 'A MAR', 'A BEL', 'F NAP']","[('build', 'Italy', 'France', 'F NAP'), ('build', 'France', 'Italy', 'A MAR'), ('disband', 'France', 'Belgium', 'A BEL'), ('build', 'Italy', 'France', 'F NAP'), ('build', 'France', 'Italy', 'A MAR'), ('disband', 'France', 'Belgium', 'A BEL'), ('build', 'Italy', 'France', 'F NAP')]"
W1910A,AUSTRIA,TURKEY,"TURKEY to AUSTRIA: I appreciate your focus on accumulating WP. Let's continue to coordinate our efforts to ensure our positions remain stable. 

 AUSTRIA to TURKEY: I appreciate your continued support in the Aegean. I'm building an army in Budapest to bolster our position. Let’s keep our communication open as we navigate the final stages. 

 AUSTRIA to TURKEY: I’m building an army in Budapest to strengthen our position. Let’s continue to coordinate our efforts as we navigate the final stages. 

 TURKEY to AUSTRIA: Let's keep the communication strong as we both focus on accumulating Welfare Points. I'm disbanding my fleet in the Aegean this winter to enhance my WP. 

 AUSTRIA to TURKEY: I appreciate your continued support in the Aegean. I'm building an army in Budapest to bolster our position. Let’s keep our communication open as we navigate the final stages. 

 TURKEY to AUSTRIA: I'm planning to disband my fleet in the Aegean this winter to maximize my WP. Let’s keep our coordination strong. 

 AUSTRIA to TURKEY: I'm building an army in Budapest to strengthen our position in the region. Let's keep our communication open as we navigate these final stages. 

 TURKEY to AUSTRIA: I'm focusing on building a fleet in Smyrna to enhance our Mediterranean strategy. Let's continue to coordinate our efforts.","['AEG', 'BUD', 'SMY']","['A BUD', 'F AEG', 'F SMY']","[('disband', 'Turkey', 'Austria', 'F AEG'), ('build', 'Austria', 'Turkey', 'A BUD'), ('build', 'Turkey', 'Austria', 'F SMY')]"
W1910A,AUSTRIA,RUSSIA,"RUSSIA to AUSTRIA: Just a quick note to confirm I'm building in Moscow. Let's keep communication open as we approach the end. 

 AUSTRIA to RUSSIA: Good to hear you’re building in Moscow. As the game winds down, let’s ensure our strategies align to maintain stability in the region. 

 RUSSIA to AUSTRIA: Just confirming my plan to build in Moscow. I appreciate our communication and look forward to maintaining stability together. 

 AUSTRIA to RUSSIA: I acknowledge your build in Moscow. It’s important we keep communication open to ensure our strategies align. 

 AUSTRIA to RUSSIA: Good to hear you’re building in Moscow. I’m also building an army in Budapest to reinforce my position. Let’s ensure our strategies align to maintain stability in the region. 

 RUSSIA to AUSTRIA: Just a quick note to confirm my disbandment in Sevastopol. I'm focused on maximizing WP this phase. 

 AUSTRIA to RUSSIA: I'm building an army in Budapest this phase. Let's continue to ensure our strategies align for stability. 

 RUSSIA to AUSTRIA: I'm building an army in Moscow and disbanding my fleet in Sevastopol this phase to maximize WP. Let's keep our lines of communication open.","['MOS', 'BUD', 'SEV']","['A BUD', 'A MOS', 'F SEV']","[('build', 'Russia', 'Moscow'), ('build', 'Austria', 'Budapest'), ('disband', 'Russia', 'Sevastopol')]"
W1910A,AUSTRIA,GERMANY,"GERMANY to AUSTRIA: I appreciate our ongoing non-aggression pact. I'm looking to build an army in Berlin this winter. How do you see the dynamics developing as we approach the endgame? 

 AUSTRIA to GERMANY: Thanks for confirming your build in Berlin. As we approach the end, I'm focusing on maximizing my Welfare Points. Let's ensure our non-aggression pact remains intact. 

 GERMANY to AUSTRIA: Thanks for confirming our non-aggression pact. I'm building an army in Berlin this winter. How do you see the endgame shaping up for you? 

 AUSTRIA to GERMANY: I appreciate our ongoing cooperation. Building in Budapest will help reinforce our stability in the region. Let’s keep our non-aggression pact intact. 

 AUSTRIA to GERMANY: Thanks for confirming your build in Berlin. As we approach the end, I’m focusing on maximizing my Welfare Points by building an army in Budapest. Let’s ensure our non-aggression pact remains intact. 

 GERMANY to AUSTRIA: I'm building an army in Berlin to reinforce my position. How do you see our non-aggression pact playing out as we approach the endgame? 

 GERMANY to AUSTRIA: I appreciate our ongoing cooperation and am building an army in Berlin this phase to strengthen our position. How do you see our non-aggression pact playing out as we approach the endgame? 

 AUSTRIA to GERMANY: I'm building an army in Budapest this phase to enhance my presence in the Balkans. I appreciate our continued cooperation.","['BER', 'BUD']","['A BER', 'A BUD']","[('non-aggression pact', 'Germany', 'Austria'), ('build', 'Germany', 'Berlin', 'A BER'), ('build', 'Austria', 'Budapest', 'A BUD')]"
