,phase,power,round,model,reasoning,orders,invalid_orders,messages,system_prompt,user_prompt
0,S1901M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A MOS - STP', 'A WAR - SIL', 'F SEV - ARM', 'F STP/SC - BOT']",[],[],,
1,S1901M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F ANK - BLA', 'A CON - BUL', 'A SMY - ARM']",[],[],,
2,S1901M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A MUN - SIL', 'F KIE - DEN']",[],[],,
3,S1901M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A BUD - SER', 'F TRI - ALB']",[],[],,
4,S1901M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A PAR - BUR', 'F BRE - ENG', 'A MAR - SPA']",[],[],,
5,S1901M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F NAP - ION'],[],[],,
6,S1901M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F EDI - NTH', 'F LON - ENG', 'A LVP - WAL']",[],[],,
0,F1901M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR - SIL', 'F BOT - BAL', 'F SEV - RUM', 'A STP - NWY']",[],[],,
1,F1901M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F ION - TUN'],[],[],,
2,F1901M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F NTH - HOL', 'F LON - ENG']",[],[],,
3,F1901M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F BLA - RUM', 'A SMY - ARM', 'A BUL - GRE']",[],[],,
4,F1901M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A SER S F ALB - GRE', 'F ALB - GRE']",[],[],,
5,F1901M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A BUR - BEL', 'F BRE - MAO', 'A SPA - POR']",[],[],,
6,F1901M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A MUN - RUH', 'F DEN - SWE']",[],[],,
0,W1901A,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,W1901A,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,W1901A,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,W1901A,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A MOS B'],[],[],,
4,W1901A,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,W1901A,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,W1901A,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,S1902M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F ENG C A WAL - PIC'],[],[],,
1,S1902M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F MAO - ENG', 'A BEL - PIC', 'A POR - SPA']",[],[],,
2,S1902M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A SER - BUL', 'F GRE S A SER - BUL']",[],[],,
3,S1902M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F BLA C A ARM - RUM', 'A BUL S A ARM - RUM']",[],[],,
4,S1902M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F SWE - DEN'],[],[],,
5,S1902M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F TUN - ION'],[],[],,
6,S1902M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A MOS S F SEV', 'A NWY - SWE']",[],[],,
0,S1902R,TURKEY,1,NoPressAgent(key=35),Orders from no-press baseline policy.,['A BUL R RUM'],[],[],,
0,F1902M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F GRE - BUL/SC'],[],[],,
1,F1902M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A MOS S F SEV', 'F BAL - DEN', 'A SWE S F BAL - DEN']",[],[],,
2,F1902M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F ENG C A WAL - BEL', 'F HOL S A WAL - BEL']",[],[],,
3,F1902M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F BLA S A ARM - SEV', 'A ARM - SEV', 'A RUM S A ARM - SEV']",[],[],,
4,F1902M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,F1902M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F ION - GRE'],[],[],,
6,F1902M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A PIC - BEL'],[],[],,
0,F1902R,GERMANY,1,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,W1902A,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR B', 'A STP B']",[],[],,
1,W1902A,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,W1902A,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,W1902A,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,W1902A,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,W1902A,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,W1902A,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,S1903M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A BEL - PIC'],[],[],,
1,S1903M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F ION - AEG', 'A VEN - TYR']",[],[],,
2,S1903M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F ENG C A WAL - PIC'],[],[],,
3,S1903M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A MOS - UKR', 'A WAR - PRU', 'F DEN - BAL', 'A SWE - DEN', 'A STP - MOS']",[],[],,
4,S1903M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A VIE - TYR', 'F GRE - ION', 'A BUL - SER']",[],[],,
5,S1903M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A SEV - MOS'],[],[],,
6,S1903M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,F1903M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A SER - BUL', 'F ION - GRE']",[],[],,
1,F1903M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F BLA - BUL/EC', 'A SEV - RUM']",[],[],,
2,F1903M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,F1903M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A UKR - MOS', 'A STP - MOS']",[],[],,
4,F1903M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A PIC - BEL'],[],[],,
5,F1903M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F ENG C A WAL - BEL', 'F HOL S A WAL - BEL']",[],[],,
6,F1903M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A BER - SIL'],[],[],,
0,W1903A,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,W1903A,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,W1903A,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,W1903A,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,W1903A,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,W1903A,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,W1903A,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,S1904M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A UKR - MOS', 'A STP - MOS']",[],[],,
1,S1904M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A SER - BUL', 'A VIE - TYR', 'F GRE - ION']",[],[],,
2,S1904M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A BER - SIL'],[],[],,
3,S1904M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F HOL - NTH'],[],[],,
4,S1904M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A BEL - PIC'],[],[],,
5,S1904M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A RUM - UKR', 'A SEV S A RUM - UKR']",[],[],,
6,S1904M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A VEN - TYR'],[],[],,
0,S1904R,RUSSIA,1,NoPressAgent(key=35),Orders from no-press baseline policy.,['A UKR R WAR'],[],[],,
0,F1904M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F ION - TUN', 'A BUL - GRE']",[],[],,
1,F1904M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
