,phase,power,round,model,reasoning,orders,invalid_orders,messages,system_prompt,user_prompt
0,S1901M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A BUD - SER', 'F TRI - ALB']",[],[],,
1,S1901M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F EDI - NTH', 'F LON - ENG', 'A LVP - WAL']",[],[],,
2,S1901M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F ANK - BLA', 'A CON - BUL', 'A SMY - ARM']",[],[],,
3,S1901M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F NAP - ION'],[],[],,
4,S1901M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A WAR - SIL', 'F SEV - ARM', 'F STP/SC - BOT']",[],[],,
5,S1901M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A PAR - BUR', 'F BRE - ENG', 'A MAR - SPA']",[],[],,
6,S1901M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A MUN - SIL', 'F KIE - DEN']",[],[],,
0,F1901M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A MUN - RUH', 'F DEN - SWE']",[],[],,
1,F1901M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A BUR - BEL', 'F BRE - MAO', 'A SPA - POR']",[],[],,
2,F1901M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F BLA - RUM', 'A SMY - ARM', 'A BUL - GRE']",[],[],,
3,F1901M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F ION - TUN'],[],[],,
4,F1901M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F NTH - NWY', 'F LON - ENG']",[],[],,
5,F1901M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A SER S F ALB - GRE', 'F ALB - GRE']",[],[],,
6,F1901M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A WAR - SIL', 'F BOT - SWE', 'F SEV - RUM']",[],[],,
0,W1901A,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F SMY B'],[],[],,
1,W1901A,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
2,W1901A,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
3,W1901A,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
4,W1901A,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
5,W1901A,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
6,W1901A,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
0,S1902M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A SER - BUL', 'F GRE S A SER - BUL']",[],[],,
1,S1902M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F BOT - BAL', 'F SEV - RUM']",[],[],,
2,S1902M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F NWY - SWE'],[],[],,
3,S1902M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F TUN - ION'],[],[],,
4,S1902M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A RUH - HOL', 'F DEN - SWE']",[],[],,
5,S1902M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A BEL - PIC', 'A POR - SPA']",[],[],,
6,S1902M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F BLA C A ARM - RUM', 'F SMY - AEG', 'A BUL S A ARM - RUM']",[],[],,
0,S1902R,TURKEY,1,NoPressAgent(key=36),Orders from no-press baseline policy.,['A BUL R CON'],[],[],,
0,F1902M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F GRE S A BUL', 'A BUL S F GRE']",[],[],,
1,F1902M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F ENG C A WAL - BEL'],[],[],,
2,F1902M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F AEG S A CON - BUL', 'A CON - BUL']",[],[],,
3,F1902M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['A PIC - BEL'],[],[],,
4,F1902M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
5,F1902M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F ION S F GRE - AEG'],[],[],,
