,phase,power,round,model,reasoning,orders,invalid_orders,messages,system_prompt,user_prompt
0,S1901M,RUSSIA,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['A WAR - SIL', 'F SEV - ARM', 'F STP/SC - BOT']",[],[],,
1,S1901M,ENGLAND,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['F EDI - NTH', 'F LON - ENG', 'A LVP - WAL']",[],[],,
2,S1901M,ITALY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,['F NAP - ION'],[],[],,
3,S1901M,GERMANY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['A MUN - SIL', 'F KIE - DEN']",[],[],,
4,S1901M,AUSTRIA,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['A BUD - SER', 'F TRI - ALB']",[],[],,
5,S1901M,FRANCE,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['A PAR - BUR', 'F BRE - ENG', 'A MAR - SPA']",[],[],,
6,S1901M,TURKEY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['F ANK - BLA', 'A CON - BUL', 'A SMY - ARM']",[],[],,
0,F1901M,GERMANY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['A MUN - RUH', 'F DEN - SWE']",[],[],,
1,F1901M,ITALY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,['F ION - TUN'],[],[],,
2,F1901M,TURKEY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['F BLA - RUM', 'A SMY - ARM', 'A BUL - GRE']",[],[],,
3,F1901M,AUSTRIA,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['A SER S F ALB - GRE', 'F ALB - GRE']",[],[],,
4,F1901M,ENGLAND,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['F NTH - NWY', 'F LON - ENG']",[],[],,
5,F1901M,RUSSIA,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['A WAR - SIL', 'F BOT - SWE', 'F SEV - RUM']",[],[],,
6,F1901M,FRANCE,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['A BUR - BEL', 'F BRE - MAO', 'A SPA - POR']",[],[],,
0,W1901A,ITALY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,[],[],[],,
1,W1901A,FRANCE,3,NoPressAgent(key=31),Orders from no-press baseline policy.,[],[],[],,
2,W1901A,TURKEY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,[],[],[],,
3,W1901A,ENGLAND,3,NoPressAgent(key=31),Orders from no-press baseline policy.,['F LON B'],[],[],,
4,W1901A,AUSTRIA,3,NoPressAgent(key=31),Orders from no-press baseline policy.,[],[],[],,
5,W1901A,RUSSIA,3,NoPressAgent(key=31),Orders from no-press baseline policy.,[],[],[],,
6,W1901A,GERMANY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,[],[],[],,
0,S1902M,FRANCE,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['A BEL - PIC', 'A POR - SPA']",[],[],,
1,S1902M,ENGLAND,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['F LON - NTH', 'F NWY - SWE']",[],[],,
2,S1902M,GERMANY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['A RUH - HOL', 'F DEN - SWE']",[],[],,
3,S1902M,TURKEY,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['F BLA C A ARM - RUM', 'A BUL S A ARM - RUM']",[],[],,
4,S1902M,RUSSIA,3,NoPressAgent(key=31),Orders from no-press baseline policy.,"['F BOT - BAL', 'F SEV - RUM']",[],[],,
