,phase,round,sender,recipient,message
0,S1901M,1,TURKEY,RUSSIA,"Hey Russia, I’d love to hear your thoughts on how we can ensure stability in the Black Sea. Perhaps we can cooperate there?"
1,S1901M,1,TURKEY,AUSTRIA,"Austria, I see us both with interests in the Balkans. Let’s discuss how we can avoid conflict and potentially work together."
2,S1901M,1,TURKEY,ITALY,"Italy, I’m curious about your plans in the Mediterranean. Would you be open to a conversation about our mutual interests?"
3,S1901M,1,TURKEY,GLOBAL,I'm excited to start this game! Looking forward to engaging with everyone and forging some strong alliances.
4,S1901M,1,FRANCE,TURKEY,Hi Turkey! I'm excited about the game too. I think it would be beneficial for us to communicate openly and perhaps discuss potential alliances or shared interests. What are your thoughts on how we should approach our neighbors?
5,S1901M,1,FRANCE,ENGLAND,Hello England! I think it might be a good idea for us to keep communication open. I’m interested in ensuring our western borders remain stable. How do you feel about the situation with Germany?
6,S1901M,1,FRANCE,GERMANY,"Hi Germany! I believe we should also keep communication flowing between us. I want to ensure our borders are secure, especially given the positioning of our units. What do you think about establishing a non-aggression pact for the time being?"
7,S1901M,1,ENGLAND,FRANCE,Hello France! I appreciate your interest in ensuring our western borders remain stable. I agree that communication is key. I plan to move my fleet to NTH and keep an eye on Germany. How do you see our relationship progressing?
8,S1901M,1,ENGLAND,GERMANY,"Hello Germany! I think it’s important for us to keep communication open. With both our powers in the region, how do you feel about the current situation? I’m open to discussing mutual interests."
9,S1901M,1,ENGLAND,TURKEY,Hi Turkey! Excited to see how we can cooperate as the game progresses. Let’s keep the lines of communication open!
10,S1901M,1,ENGLAND,RUSSIA,Hello Russia! I see you have a strong position with 4 units. I’m curious how you see the balance of power shifting in the next few turns.
11,S1901M,1,AUSTRIA,TURKEY,"Hello Turkey, I appreciate your message! I agree that it would be beneficial for both of us to avoid conflict in the Balkans. Let's discuss how we can collaborate effectively. Are there specific territories you are considering?"
12,S1901M,1,ITALY,TURKEY,Hey Turkey! I'm interested in discussing how we can collaborate in the Mediterranean. What are your thoughts on our mutual interests?
13,S1901M,1,ITALY,GLOBAL,Hello everyone! Excited to be playing with you all. I'm looking forward to some interesting strategies and alliances!
14,S1901M,1,GERMANY,FRANCE,Hi France! I'm open to the idea of a non-aggression pact. Let's discuss how we can ensure our borders remain secure. What specific terms do you have in mind?
15,S1901M,1,GERMANY,ENGLAND,Hello England! I'm also keen to keep communication open. What mutual interests do you have in mind that we can work together on?
16,S1901M,1,RUSSIA,TURKEY,"Hey Turkey, I appreciate your thoughts on the Black Sea! I'm open to cooperation. How do you envision our roles in that region?"
