,phase,power,round,model,reasoning,orders,invalid_orders,messages,system_prompt,user_prompt
0,S1901M,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['F ANK - BLA', 'A CON - BUL', 'A SMY - ARM']",[],[],,
1,S1901M,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A PAR - BUR', 'F BRE - ENG', 'A MAR - SPA']",[],[],,
2,S1901M,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['F EDI - NTH', 'F LON - ENG', 'A LVP - WAL']",[],[],,
3,S1901M,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A BUD - SER', 'A VIE - TRI', 'F TRI - ALB']",[],[],,
4,S1901M,ITALY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['F NAP - ION', 'A ROM - VEN', 'A VEN - TRI']",[],[],,
5,S1901M,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A MOS - STP', 'A WAR - SIL', 'F SEV - ARM', 'F STP/SC - BOT']",[],[],,
6,S1901M,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A MUN - SIL', 'A BER - KIE', 'F KIE - DEN']",[],[],,
0,F1901M,ITALY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['F ION - TUN', 'A ROM - VEN', 'A VEN - TRI']",[],[],,
1,F1901M,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['F NTH S F LON - ENG', 'A WAL H', 'F LON - ENG']",[],[],,
2,F1901M,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A MUN H', 'F DEN - SWE', 'A KIE - HOL']",[],[],,
3,F1901M,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A WAR - SIL', 'F BOT - BAL', 'F SEV - RUM', 'A STP - NWY']",[],[],,
4,F1901M,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A BUR - BEL', 'F BRE - MAO', 'A SPA - POR']",[],[],,
5,F1901M,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['F BLA - RUM', 'A SMY - ARM', 'A BUL - GRE']",[],[],,
6,F1901M,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A SER S F ALB - GRE', 'A VIE - TRI', 'F ALB - GRE']",[],[],,
0,W1901A,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A MUN D', 'A HOL D', 'F SWE D']",[],[],,
1,W1901A,ITALY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A ROM D', 'F TUN D', 'A VEN D']",[],[],,
2,W1901A,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['F ENG D', 'F NTH D', 'A WAL D']",[],[],,
3,W1901A,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['F BLA D', 'A ARM D', 'A BUL D']",[],[],,
4,W1901A,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['F MAO D', 'A BEL D', 'A POR D']",[],[],,
5,W1901A,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A SER D', 'A VIE D', 'F GRE D']",[],[],,
6,W1901A,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,"['A SIL D', 'F BAL D', 'A NWY D', 'F SEV D']",[],[],,
0,S1902M,ITALY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
1,S1902M,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
2,S1902M,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
3,S1902M,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
4,S1902M,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
5,S1902M,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
6,S1902M,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
0,F1902M,ITALY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
1,F1902M,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
2,F1902M,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
3,F1902M,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
4,F1902M,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
5,F1902M,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
6,F1902M,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
0,W1902A,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
1,W1902A,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
2,W1902A,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
3,W1902A,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
4,W1902A,ITALY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
5,W1902A,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
6,W1902A,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
0,S1903M,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
1,S1903M,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
2,S1903M,ITALY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
3,S1903M,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
4,S1903M,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
5,S1903M,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
6,S1903M,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
0,F1903M,ITALY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
1,F1903M,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
2,F1903M,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
3,F1903M,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
4,F1903M,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
5,F1903M,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
6,F1903M,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
0,W1903A,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
1,W1903A,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
2,W1903A,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
3,W1903A,ITALY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
4,W1903A,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
5,W1903A,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
6,W1903A,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
0,S1904M,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
1,S1904M,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
2,S1904M,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
3,S1904M,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
4,S1904M,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
5,S1904M,ITALY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
6,S1904M,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
0,F1904M,TURKEY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
1,F1904M,GERMANY,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
2,F1904M,RUSSIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
3,F1904M,AUSTRIA,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
4,F1904M,FRANCE,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
5,F1904M,ENGLAND,3,NoPressAgent(key=0),Orders from no-press baseline policy.,[],[],[],,
