,phase,power,round,model,reasoning,orders,invalid_orders,messages,system_prompt,user_prompt
0,S1901M,FRANCE,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['A PAR - BUR', 'F BRE - ENG', 'A MAR - SPA']",[],[],,
1,S1901M,RUSSIA,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['A MOS - STP', 'A WAR - SIL', 'F SEV - ARM', 'F STP/SC - BOT']",[],[],,
2,S1901M,ITALY,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['F NAP - ION', 'A ROM - VEN', 'A VEN - TRI']",[],[],,
3,S1901M,TURKEY,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['F ANK - BLA', 'A CON - BUL', 'A SMY - ARM']",[],[],,
4,S1901M,GERMANY,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['A MUN - SIL', 'A BER - KIE', 'F KIE - DEN']",[],[],,
5,S1901M,AUSTRIA,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['A BUD - SER', 'A VIE - TRI', 'F TRI - ALB']",[],[],,
6,S1901M,ENGLAND,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['F EDI - NTH', 'F LON - ENG', 'A LVP - WAL']",[],[],,
0,F1901M,GERMANY,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['A MUN H', 'F DEN - SWE', 'A KIE - HOL']",[],[],,
1,F1901M,RUSSIA,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['A WAR - SIL', 'F BOT - BAL', 'F SEV - RUM', 'A STP - NWY']",[],[],,
2,F1901M,ITALY,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['F ION - TUN', 'A ROM - VEN', 'A VEN - TRI']",[],[],,
3,F1901M,TURKEY,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['F BLA - RUM', 'A SMY - ARM', 'A BUL - GRE']",[],[],,
4,F1901M,AUSTRIA,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['A SER S F ALB - GRE', 'A VIE - TRI', 'F ALB - GRE']",[],[],,
5,F1901M,FRANCE,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['A BUR - BEL', 'F BRE - MAO', 'A SPA - POR']",[],[],,
6,F1901M,ENGLAND,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['F NTH S F LON - ENG', 'A WAL H', 'F LON - ENG']",[],[],,
0,W1901A,GERMANY,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['A BER B', 'F KIE B']",[],[],,
1,W1901A,FRANCE,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['F BRE B', 'A PAR B']",[],[],,
2,W1901A,TURKEY,1,NoPressAgent(key=1),Orders from no-press baseline policy.,['F SMY B'],[],[],,
3,W1901A,ENGLAND,1,NoPressAgent(key=1),Orders from no-press baseline policy.,[],[],[],,
4,W1901A,ITALY,1,NoPressAgent(key=1),Orders from no-press baseline policy.,['F NAP B'],[],[],,
5,W1901A,AUSTRIA,1,NoPressAgent(key=1),Orders from no-press baseline policy.,"['A TRI B', 'A BUD B']",[],[],,
6,W1901A,RUSSIA,1,NoPressAgent(key=1),Orders from no-press baseline policy.,['A MOS B'],[],[],,
