,phase,power,round,model,reasoning,orders,invalid_orders,messages,system_prompt,user_prompt
0,S1901M,ITALY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F NAP - ION', 'A ROM - VEN', 'A VEN - TRI']",[],[],,
1,S1901M,TURKEY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F ANK - BLA', 'A CON - BUL', 'A SMY - ARM']",[],[],,
2,S1901M,AUSTRIA,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A BUD - SER', 'A VIE - TRI', 'F TRI - ALB']",[],[],,
3,S1901M,RUSSIA,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A MOS - STP', 'A WAR - SIL', 'F SEV - ARM', 'F STP/SC - BOT']",[],[],,
4,S1901M,ENGLAND,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F EDI - NTH', 'F LON - ENG', 'A LVP - WAL']",[],[],,
5,S1901M,GERMANY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A MUN - SIL', 'A BER - KIE', 'F KIE - DEN']",[],[],,
6,S1901M,FRANCE,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A PAR - BUR', 'F BRE - ENG', 'A MAR - SPA']",[],[],,
0,F1901M,RUSSIA,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A WAR - SIL', 'F BOT - BAL', 'F SEV - RUM', 'A STP - NWY']",[],[],,
1,F1901M,FRANCE,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A BUR - BEL', 'F BRE - MAO', 'A SPA - POR']",[],[],,
2,F1901M,TURKEY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F BLA - RUM', 'A SMY - ARM', 'A BUL - GRE']",[],[],,
3,F1901M,AUSTRIA,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A SER S F ALB - GRE', 'A VIE - TRI', 'F ALB - GRE']",[],[],,
4,F1901M,GERMANY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A MUN H', 'F DEN - SWE', 'A KIE - HOL']",[],[],,
5,F1901M,ITALY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F ION - TUN', 'A ROM - VEN', 'A VEN - TRI']",[],[],,
6,F1901M,ENGLAND,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F NTH S F LON - ENG', 'A WAL H', 'F LON - ENG']",[],[],,
0,W1901A,RUSSIA,3,NoPressAgent(key=21),Orders from no-press baseline policy.,['A MOS B'],[],[],,
1,W1901A,ENGLAND,3,NoPressAgent(key=21),Orders from no-press baseline policy.,[],[],[],,
2,W1901A,FRANCE,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F BRE B', 'A PAR B']",[],[],,
3,W1901A,AUSTRIA,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A TRI B', 'A BUD B']",[],[],,
4,W1901A,TURKEY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,['F SMY B'],[],[],,
5,W1901A,GERMANY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A BER B', 'F KIE B']",[],[],,
6,W1901A,ITALY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,['F NAP B'],[],[],,
0,S1902M,TURKEY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F BLA C A ARM - BUL', 'A ARM - BUL VIA', 'F SMY S F GRE - AEG', 'A BUL - GRE']",[],[],,
1,S1902M,ITALY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F NAP - TYS', 'A ROM - VEN', 'F TUN - WES', 'A VEN - PIE']",[],[],,
2,S1902M,GERMANY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A MUN - SIL', 'A BER S A MUN - SIL', 'A HOL - BEL', 'F KIE - DEN', 'F SWE - BAL']",[],[],,
3,S1902M,RUSSIA,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A SIL - BER', 'A MOS S F SEV', 'F BAL - SWE', 'A NWY S F BAL - SWE', 'F SEV H']",[],[],,
4,S1902M,ENGLAND,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F ENG C A WAL - PIC', 'F NTH S F ENG', 'A WAL - PIC VIA']",[],[],,
5,S1902M,AUSTRIA,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A BUD - RUM', 'A SER S A BUD - RUM', 'A VIE - GAL', 'F GRE - AEG', 'A TRI - TYR']",[],[],,
6,S1902M,FRANCE,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A PAR - BUR', 'F MAO S F BRE - ENG', 'A BEL S A WAL - HOL', 'F BRE - ENG', 'A POR - SPA']",[],[],,
0,S1902R,GERMANY,1,NoPressAgent(key=21),Orders from no-press baseline policy.,['F SWE R BOT'],[],[],,
1,S1902R,RUSSIA,1,NoPressAgent(key=21),Orders from no-press baseline policy.,['A SIL R WAR'],[],[],,
0,F1902M,FRANCE,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A BUR - PAR', 'F MAO S F BRE - ENG', 'A BEL - PIC', 'F BRE - ENG', 'A SPA H']",[],[],,
1,F1902M,GERMANY,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['A SIL - WAR', 'F BOT - STP/SC', 'A BER - MUN', 'F DEN - SWE', 'A HOL - BEL']",[],[],,
2,F1902M,ENGLAND,3,NoPressAgent(key=21),Orders from no-press baseline policy.,"['F ENG - BRE', 'F NTH S A PIC - BEL', 'A PIC - BEL']",[],[],,
