"phase","round","sender","recipient","message"
"W1910A","1","ENGLAND","GERMANY","I'm planning to build units this winter to maintain stability in the North Sea and ensure we can continue our cooperative efforts. What are your thoughts on the current dynamics?"
"W1910A","1","ENGLAND","ITALY","I'm building units this winter to reinforce our cooperation. Let’s keep the lines of communication open as we navigate these final phases."
"W1910A","1","ENGLAND","FRANCE","I see you're building in Marseilles. Let's ensure we both focus on stability as we head towards the end of the game. What are your thoughts on our alignment?"
"W1910A","1","ENGLAND","TURKEY","I plan to build units this winter to maintain a presence in the North Sea. How are you feeling about the current state of affairs in the Mediterranean?"
"W1910A","1","ITALY","AUSTRIA","I plan to build a fleet in Naples to strengthen our Mediterranean position. Let's keep discussing our coordination as we approach the endgame."
"W1910A","1","ITALY","TURKEY","I'm building a fleet in Naples to enhance our Adriatic cooperation. It's important that we continue our alignment in strategies."
"W1910A","1","ITALY","FRANCE","I’m reinforcing my position by building a fleet in Naples. Let’s keep our Mediterranean cooperation strong as we head toward the end."
"W1910A","1","ITALY","ENGLAND","I’m building a fleet in Naples to secure our position. I appreciate our ongoing discussions and want to maintain our communication."
"W1910A","1","RUSSIA","TURKEY","I plan to build an army in Moscow to reinforce my position. I appreciate our collaboration and hope we can continue our alignment moving forward."
"W1910A","1","RUSSIA","AUSTRIA","Just a quick note to confirm I'm building in Moscow. Let's keep communication open as we approach the end."
"W1910A","1","RUSSIA","GERMANY","I’m building an army in Moscow to maintain a presence in the region. I hope we can continue our cooperative dialogue."
"W1910A","1","RUSSIA","FRANCE","I plan to build in Moscow this phase. I'm looking forward to maintaining stability as we head towards the conclusion of the game."
"W1910A","1","GERMANY","ENGLAND","I see you're planning to build units this winter. I'm considering building an army in Berlin to support our North Sea strategy. What are your thoughts on this approach?"
"W1910A","1","GERMANY","RUSSIA","Your plans for an army in Moscow sound good. I'm building an army in Berlin, which could help ensure stability in our region. Let’s keep our lines of communication open."
"W1910A","1","GERMANY","AUSTRIA","I appreciate our ongoing non-aggression pact. I'm looking to build an army in Berlin this winter. How do you see the dynamics developing as we approach the endgame?"
"W1910A","1","GERMANY","FRANCE","I noticed your move to Belgium. I'm planning to build in Berlin to reinforce my position. Let's ensure we stay aligned as the game progresses."
"W1910A","1","TURKEY","AUSTRIA","I appreciate your focus on accumulating WP. Let's continue to coordinate our efforts to ensure our positions remain stable."
"W1910A","1","TURKEY","ITALY","Looking forward to strengthening our cooperation in the Adriatic. Let's make sure we keep our lines of communication open."
"W1910A","1","TURKEY","RUSSIA","Thanks for the collaboration! I hope our mutual alignment continues to serve us well as we approach the game's conclusion."
"W1910A","1","AUSTRIA","ITALY","I see you're planning to build a fleet in Naples. Let's keep our coordination strong as we approach the endgame. I'm considering my options for the Winter adjustments."
"W1910A","1","AUSTRIA","GERMANY","Thanks for confirming your build in Berlin. As we approach the end, I'm focusing on maximizing my Welfare Points. Let's ensure our non-aggression pact remains intact."
"W1910A","1","AUSTRIA","TURKEY","I appreciate your continued support in the Aegean. I'm building an army in Budapest to bolster our position. Let’s keep our communication open as we navigate the final stages."
"W1910A","1","AUSTRIA","RUSSIA","Good to hear you’re building in Moscow. As the game winds down, let’s ensure our strategies align to maintain stability in the region."
"W1910A","1","FRANCE","ENGLAND","I appreciate our focus on stability as we approach the end of the game. I'm planning to build in Marseilles, which will help secure our positions. Let me know if you have any thoughts on further aligning our strategies."
"W1910A","1","FRANCE","ITALY","It's great to see you're building in Naples. I plan to build an army in Marseilles to enhance our cooperation in the Mediterranean. Let’s continue to coordinate our efforts."
"W1910A","1","FRANCE","GERMANY","Thanks for your support in Berlin. I'm building in Marseilles to strengthen my Mediterranean position. Let’s keep communication open as we approach the final phase."
"W1910A","1","FRANCE","TURKEY","I see you’re focusing on the Aegean. I plan to build an army in Marseilles to ensure stability in our region. Let’s maintain strong communication as we navigate the endgame."
"W1910A","2","FRANCE","ENGLAND","I plan to disband my army in Belgium to maximize my Welfare Points. Let's ensure our strategies align as we approach the endgame. Do you have any thoughts on this?"
"W1910A","2","FRANCE","ITALY","I will be disbanding my army in Belgium to focus on accumulating Welfare Points. It's important for us to keep our Mediterranean cooperation strong as we move forward. How are your plans shaping up?"
"W1910A","2","FRANCE","GERMANY","I'm planning to disband my army in Belgium this phase to enhance my WP. Let's maintain open communication about our strategies as we approach the conclusion of the game."
"W1910A","2","FRANCE","TURKEY","I'll be disbanding my army in Belgium to maximize my Welfare Points. Let's continue to coordinate our efforts in the Mediterranean as we head toward the end."
"W1910A","2","RUSSIA","TURKEY","I'm going to build an army in Moscow. Let's continue to collaborate closely as we approach the end."
"W1910A","2","RUSSIA","AUSTRIA","Just confirming my plan to build in Moscow. I appreciate our communication and look forward to maintaining stability together."
"W1910A","2","RUSSIA","GERMANY","I plan to build an army in Moscow. I hope we can keep our dialogue open and ensure peace in our region."
"W1910A","2","RUSSIA","FRANCE","I will be building in Moscow this phase. I'm looking forward to keeping our lines of communication open as we finish the game."
"W1910A","2","ENGLAND","GERMANY","I'm planning to build a fleet in Liverpool this winter to reinforce our North Sea strategy. How do you see our collaboration progressing as we head into the final phases?"
"W1910A","2","ENGLAND","ITALY","I see you are building a fleet in Naples. I’m also building a fleet in Liverpool to support our cooperation. Let’s ensure we stay aligned."
"W1910A","2","ENGLAND","FRANCE","I appreciate your focus on stability with your build in Marseilles. I’m building in Liverpool to maintain our North Sea presence. Let’s continue to coordinate as we near the end."
"W1910A","2","ENGLAND","TURKEY","I'm building a fleet in Liverpool to enhance our position in the North Sea. How are you viewing the current Mediterranean dynamics as we wrap up?"
"W1910A","2","GERMANY","AUSTRIA","Thanks for confirming our non-aggression pact. I'm building an army in Berlin this winter. How do you see the endgame shaping up for you?"
"W1910A","2","GERMANY","ENGLAND","I see you're planning to build a fleet in Liverpool. I'm building an army in Berlin to support our North Sea strategy. What are your thoughts on our cooperation moving forward?"
"W1910A","2","GERMANY","FRANCE","I'm planning to build in Berlin to reinforce my position. Let's stay aligned as we approach the conclusion of the game."
"W1910A","2","GERMANY","RUSSIA","I'm building an army in Berlin as well. It's great to hear you're maintaining your presence in Moscow. Let's keep our communication open."
"W1910A","2","AUSTRIA","ITALY","I see your plans for a fleet in Naples. Let’s ensure our strategies align as we approach the endgame."
"W1910A","2","AUSTRIA","GERMANY","I appreciate our ongoing cooperation. Building in Budapest will help reinforce our stability in the region. Let’s keep our non-aggression pact intact."
"W1910A","2","AUSTRIA","TURKEY","I’m building an army in Budapest to strengthen our position. Let’s continue to coordinate our efforts as we navigate the final stages."
"W1910A","2","AUSTRIA","RUSSIA","I acknowledge your build in Moscow. It’s important we keep communication open to ensure our strategies align."
