,phase,round,sender,recipient,message
0,S1901M,1,GERMANY,AUSTRIA,"Hello Austria, looking forward to a peaceful relationship this early in the game. How do you see the situation in the Balkans developing?"
1,S1901M,1,GERMANY,ENGLAND,"Hey England, I'd love to hear your thoughts on potential collaborations in the north. Any plans to move into the Scandinavian region?"
2,S1901M,1,GERMANY,FRANCE,"Hi France, I hope we can maintain a friendly relationship. What are your intentions for the coming turns?"
3,S1901M,1,GERMANY,ITALY,Greetings Italy! I'm curious about your plans in the Mediterranean. Any thoughts on cooperating or discussing potential moves?
4,S1901M,1,TURKEY,RUSSIA,"Hey Russia, how are you planning to approach the Black Sea? I’d like to discuss a potential cooperative approach."
5,S1901M,1,TURKEY,AUSTRIA,"Austria, I hope we can maintain a peaceful relationship. Do you have any thoughts on our border?"
6,S1901M,1,TURKEY,ITALY,"Italy, I'm curious about your plans for the Balkans. Any chance we could talk about mutual interests?"
7,S1901M,1,TURKEY,GLOBAL,Looking forward to a productive year ahead. Let's all try to keep the peace!
8,S1901M,1,ITALY,GERMANY,Hey Germany! I'm open to discussing plans in the Mediterranean. What are your thoughts on potential cooperation?
9,S1901M,1,ITALY,TURKEY,Hi Turkey! I'm also interested in discussing the Balkans. What specific mutual interests do you have in mind?
10,S1901M,1,FRANCE,GERMANY,"Hi Germany, I appreciate your message. I'm looking to keep the peace as well. How do you see our relationship developing this year? Any plans for expansion?"
11,S1901M,1,FRANCE,TURKEY,"Thanks for your message, Turkey. I’m also hoping for a productive year ahead. Are you planning any movements in the near future that we should be aware of?"
12,S1901M,1,FRANCE,ITALY,"Hello Italy, I’m curious about your intentions for this year. Any thoughts on cooperation or territory?"
13,S1901M,1,FRANCE,GLOBAL,Looking forward to a successful year for all powers. Let’s aim to keep things peaceful and collaborative!
14,S1901M,1,ENGLAND,GERMANY,Hey! I appreciate your outreach. I think collaboration in the north could be beneficial. Do you have any specific plans or thoughts on how we could work together?
15,S1901M,1,ENGLAND,FRANCE,Hi there! I'm also hoping for a peaceful and collaborative year. Are you planning any moves in the north or toward England that we should discuss?
16,S1901M,1,ENGLAND,TURKEY,"Hello! I agree, keeping the peace is crucial. Are there any specific regions you're interested in discussing for collaboration?"
17,S1901M,1,AUSTRIA,TURKEY,Hi Turkey! I’m on board with keeping our border peaceful. Would you be open to discussing some mutual support in the region?
18,S1901M,1,AUSTRIA,GERMANY,Hello Germany! I'm also looking forward to a peaceful relationship. What are your thoughts on the situation in the Balkans? Any plans?
19,S1901M,1,AUSTRIA,GLOBAL,Wishing everyone a productive year ahead! Let’s work together to keep the peace.
20,S1901M,1,RUSSIA,TURKEY,"Hey Turkey, I'm considering moving F SEV into the Black Sea. If we can secure a cooperative approach, it could benefit us both. What do you think?"
21,S1901M,1,RUSSIA,AUSTRIA,"Hi Austria, I hope we can maintain a peaceful relationship. I'm watching the situation closely and hope to keep things amicable."
22,S1901M,1,RUSSIA,FRANCE,"Hello France, I appreciate your call for peace. Let's see how we can collaborate moving forward."
23,S1901M,1,RUSSIA,GERMANY,"Hi Germany, I hope we can keep things friendly. It's essential to maintain stability in the region."
24,S1901M,2,TURKEY,RUSSIA,"Hey Russia, I appreciate your cooperative approach. Just to confirm, if you move into the Black Sea, we can discuss how we can both benefit from that arrangement. Let's ensure it remains mutually advantageous."
25,S1901M,2,TURKEY,AUSTRIA,"Austria, I’m glad to hear you’re on board with maintaining peace. I’m considering moving my army from Constantinople to Bulgaria to strengthen our position in the region. What do you think?"
26,S1901M,2,TURKEY,ITALY,"Italy, I’m looking forward to discussing mutual interests. I’d like to propose we collaborate on managing the Balkans together. Perhaps we can ensure our units are coordinated?"
27,S1901M,2,TURKEY,GLOBAL,Let's all remain committed to peace and collaboration. Looking forward to a fruitful year for everyone!
28,S1901M,2,RUSSIA,TURKEY,I plan to move my fleet to the Black Sea to secure our cooperation. I'm also moving my army from Warsaw to Galicia. Let me know if you have any thoughts on our joint efforts!
29,S1901M,2,RUSSIA,AUSTRIA,"I hope we can maintain a friendly relationship this year. Just a heads up, I might be moving my army towards Galicia. I want to keep things amicable."
30,S1901M,2,RUSSIA,FRANCE,"Looking forward to collaboration this year. If you have any plans or ideas, let’s keep the lines open!"
31,S1901M,2,RUSSIA,GERMANY,Hope all is well on your side! Let’s keep communication open as we move through this year.
32,S1901M,2,GERMANY,ENGLAND,"Hey England, I'm considering moving my fleet to the North Sea. How do you see us coordinating in that area? Any particular plans you have?"
33,S1901M,2,GERMANY,FRANCE,"Hi France, I'm keen to keep our relationship strong. Any thoughts on how we might work together to ensure peace in the region?"
