,phase,power,round,model,reasoning,orders,invalid_orders,messages,system_prompt,user_prompt
0,S1901M,AUSTRIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A BUD - SER', 'A VIE - TRI', 'F TRI - ALB']",[],[],,
1,S1901M,FRANCE,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A PAR - BUR', 'F BRE - ENG', 'A MAR - SPA']",[],[],,
2,S1901M,TURKEY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F ANK - BLA', 'A CON - BUL', 'A SMY - ARM']",[],[],,
3,S1901M,GERMANY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A MUN - SIL', 'A BER - KIE', 'F KIE - DEN']",[],[],,
4,S1901M,ITALY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F NAP - ION', 'A ROM - VEN', 'A VEN - TRI']",[],[],,
5,S1901M,RUSSIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A MOS - STP', 'A WAR - SIL', 'F SEV - ARM', 'F STP/SC - BOT']",[],[],,
6,S1901M,ENGLAND,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F EDI - NTH', 'F LON - ENG', 'A LVP - WAL']",[],[],,
0,F1901M,RUSSIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A WAR - SIL', 'F BOT - BAL', 'F SEV - RUM', 'A STP - NWY']",[],[],,
1,F1901M,FRANCE,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A BUR - BEL', 'F BRE - MAO', 'A SPA - POR']",[],[],,
2,F1901M,ENGLAND,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F NTH S F LON - ENG', 'A WAL H', 'F LON - ENG']",[],[],,
3,F1901M,AUSTRIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A SER S F ALB - GRE', 'A VIE - TRI', 'F ALB - GRE']",[],[],,
4,F1901M,ITALY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F ION - TUN', 'A ROM - VEN', 'A VEN - TRI']",[],[],,
5,F1901M,GERMANY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A MUN H', 'F DEN - SWE', 'A KIE - HOL']",[],[],,
6,F1901M,TURKEY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F BLA - RUM', 'A SMY - ARM', 'A BUL - GRE']",[],[],,
0,W1901A,AUSTRIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A TRI B', 'A BUD B']",[],[],,
1,W1901A,ITALY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,['F NAP B'],[],[],,
2,W1901A,TURKEY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,['F SMY B'],[],[],,
3,W1901A,GERMANY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A BER B', 'F KIE B']",[],[],,
4,W1901A,FRANCE,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F BRE B', 'A PAR B']",[],[],,
5,W1901A,RUSSIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,['A MOS B'],[],[],,
6,W1901A,ENGLAND,3,NoPressAgent(key=2),Orders from no-press baseline policy.,[],[],[],,
0,S1902M,FRANCE,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A PAR - BUR', 'F MAO S F BRE - ENG', 'A BEL S A WAL - HOL', 'F BRE - ENG', 'A POR - SPA']",[],[],,
1,S1902M,ITALY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F NAP - TYS', 'A ROM - VEN', 'F TUN - WES', 'A VEN - PIE']",[],[],,
2,S1902M,ENGLAND,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F ENG C A WAL - PIC', 'F NTH S F ENG', 'A WAL - PIC VIA']",[],[],,
3,S1902M,GERMANY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A MUN - SIL', 'A BER S A MUN - SIL', 'A HOL - BEL', 'F KIE - DEN', 'F SWE - BAL']",[],[],,
4,S1902M,AUSTRIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A BUD - RUM', 'A SER S A BUD - RUM', 'A VIE - GAL', 'F GRE - AEG', 'A TRI - TYR']",[],[],,
5,S1902M,RUSSIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A SIL - BER', 'A MOS S F SEV', 'F BAL - SWE', 'A NWY S F BAL - SWE', 'F SEV H']",[],[],,
6,S1902M,TURKEY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F BLA C A ARM - BUL', 'A ARM - BUL VIA', 'F SMY S F GRE - AEG', 'A BUL - GRE']",[],[],,
0,S1902R,GERMANY,1,NoPressAgent(key=2),Orders from no-press baseline policy.,['F SWE R BOT'],[],[],,
1,S1902R,RUSSIA,1,NoPressAgent(key=2),Orders from no-press baseline policy.,['A SIL R WAR'],[],[],,
0,F1902M,ENGLAND,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F ENG - BRE', 'F NTH S A PIC - BEL', 'A PIC - BEL']",[],[],,
1,F1902M,FRANCE,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A BUR - PAR', 'F MAO S F BRE - ENG', 'A BEL - PIC', 'F BRE - ENG', 'A SPA H']",[],[],,
2,F1902M,ITALY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F TYS - LYO', 'F WES H', 'A PIE - MAR', 'A VEN H']",[],[],,
3,F1902M,TURKEY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F BLA - RUM', 'A GRE S A BUL - SER', 'F SMY - CON', 'A BUL - SER']",[],[],,
4,F1902M,AUSTRIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A GAL - RUM', 'A TYR - TRI', 'A SER S A RUM - BUL', 'F AEG - CON', 'A RUM - BUL']",[],[],,
5,F1902M,GERMANY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A SIL - WAR', 'F BOT - STP/SC', 'A BER - MUN', 'F DEN - SWE', 'A HOL - BEL']",[],[],,
6,F1902M,RUSSIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A MOS - STP', 'A WAR - SIL', 'A NWY S F SWE', 'F SEV - RUM', 'F SWE S A NWY']",[],[],,
0,F1902R,AUSTRIA,1,NoPressAgent(key=2),Orders from no-press baseline policy.,['A SER R BUD'],[],[],,
1,F1902R,ENGLAND,1,NoPressAgent(key=2),Orders from no-press baseline policy.,['F ENG D'],[],[],,
2,F1902R,FRANCE,1,NoPressAgent(key=2),Orders from no-press baseline policy.,['A BEL R BUR'],[],[],,
0,W1902A,ENGLAND,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F EDI B', 'F LON B']",[],[],,
1,W1902A,GERMANY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,[],[],[],,
2,W1902A,FRANCE,3,NoPressAgent(key=2),Orders from no-press baseline policy.,['A PAR D'],[],[],,
3,W1902A,ITALY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,['F ROM B'],[],[],,
4,W1902A,AUSTRIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,['A GAL D'],[],[],,
5,W1902A,TURKEY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,['A CON B'],[],[],,
6,W1902A,RUSSIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,['A STP B'],[],[],,
0,S1903M,TURKEY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A SER - RUM', 'F BLA S A SER - RUM', 'A CON - BUL', 'A GRE S A CON - BUL', 'F SMY - CON']",[],[],,
1,S1903M,FRANCE,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A BUR - MAR', 'F ENG - MAO', 'F MAO - POR', 'A SPA - GAS']",[],[],,
2,S1903M,ENGLAND,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F NTH - NWY', 'A BEL - PIC', 'F EDI - CLY', 'F LON - ENG']",[],[],,
3,S1903M,ITALY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F LYO - SPA/SC', 'F WES S F LYO - SPA', 'A MAR S F LYO - SPA', 'F ROM - TYS', 'A VEN - TRI']",[],[],,
4,S1903M,GERMANY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A SIL - WAR', 'A MUN - BUR', 'F BOT - SWE', 'F DEN S F BOT - SWE', 'A HOL - BEL']",[],[],,
5,S1903M,AUSTRIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A BUD S A BUL - SER', 'F AEG - GRE', 'A TRI S A BUL - SER', 'A BUL - SER']",[],[],,
6,S1903M,RUSSIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A MOS - UKR', 'A WAR - SIL', 'A NWY S F SWE', 'F SEV - RUM', 'F SWE S A NWY', 'A STP - FIN']",[],[],,
0,S1903R,RUSSIA,1,NoPressAgent(key=2),Orders from no-press baseline policy.,['F SWE R BAL'],[],[],,
0,F1903M,TURKEY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F BLA - SEV', 'F CON - SMY', 'A GRE S A BUL - SER', 'A RUM S F BLA - SEV', 'A BUL - SER']",[],[],,
1,F1903M,AUSTRIA,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A BUD S A SER', 'A SER S F AEG - GRE', 'F AEG - GRE', 'A TRI S A SER']",[],[],,
2,F1903M,ITALY,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['F TYS - LYO', 'F WES S F SPA/SC', 'A MAR S F SPA/SC', 'A VEN - TRI', 'F SPA/SC S A MAR']",[],[],,
3,F1903M,FRANCE,3,NoPressAgent(key=2),Orders from no-press baseline policy.,"['A BUR - MAR', 'F MAO - SPA/SC', 'A GAS S A BUR - MAR', 'F POR S F MAO - SPA']",[],[],,
