,phase,power,round,model,reasoning,orders,invalid_orders,messages,system_prompt,user_prompt
0,S1901M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A BUD - SER', 'F TRI - ALB']",[],[],,
1,S1901M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A WAR - SIL', 'F SEV - ARM', 'F STP/SC - BOT']",[],[],,
2,S1901M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F ANK - BLA', 'A CON - BUL', 'A SMY - ARM']",[],[],,
3,S1901M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A MUN - SIL', 'F KIE - DEN']",[],[],,
4,S1901M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A PAR - BUR', 'F BRE - ENG', 'A MAR - SPA']",[],[],,
5,S1901M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F NAP - ION'],[],[],,
6,S1901M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F EDI - NTH', 'F LON - ENG', 'A LVP - WAL']",[],[],,
0,F1901M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A WAR - SIL', 'F BOT - SWE', 'F SEV - RUM']",[],[],,
1,F1901M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F NTH - NWY', 'F LON - ENG']",[],[],,
2,F1901M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A MUN - RUH', 'F DEN - SWE']",[],[],,
3,F1901M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F ION - TUN'],[],[],,
4,F1901M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A BUR - BEL', 'F BRE - MAO', 'A SPA - POR']",[],[],,
5,F1901M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A SER S F ALB - GRE', 'F ALB - GRE']",[],[],,
6,F1901M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F BLA - RUM', 'A SMY - ARM', 'A BUL - GRE']",[],[],,
0,W1901A,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
1,W1901A,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
2,W1901A,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F SMY B'],[],[],,
3,W1901A,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
4,W1901A,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
5,W1901A,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
6,W1901A,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
0,S1902M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F NWY - SWE'],[],[],,
1,S1902M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F BOT - BAL', 'F SEV - RUM']",[],[],,
2,S1902M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A SER - BUL', 'F GRE S A SER - BUL']",[],[],,
3,S1902M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A BEL - PIC', 'A POR - SPA']",[],[],,
4,S1902M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F TUN - ION'],[],[],,
5,S1902M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A RUH - HOL', 'F DEN - SWE']",[],[],,
6,S1902M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F BLA C A ARM - RUM', 'F SMY - AEG', 'A BUL S A ARM - RUM']",[],[],,
0,S1902R,TURKEY,1,NoPressAgent(key=36),Orders from no-press baseline policy.,['A BUL R CON'],[],[],,
0,F1902M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F ION S F GRE - AEG'],[],[],,
1,F1902M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
2,F1902M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['A PIC - BEL'],[],[],,
3,F1902M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F ENG C A WAL - BEL'],[],[],,
4,F1902M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F DEN - SWE', 'A HOL - BEL']",[],[],,
5,F1902M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F AEG S A CON - BUL', 'A CON - BUL']",[],[],,
6,F1902M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F GRE S A BUL', 'A BUL S F GRE']",[],[],,
0,W1902A,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['A ARM D'],[],[],,
1,W1902A,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
2,W1902A,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
3,W1902A,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
4,W1902A,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
5,W1902A,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
6,W1902A,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
0,S1903M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
1,S1903M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F ION S F GRE - AEG', 'A VEN - TYR']",[],[],,
2,S1903M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
3,S1903M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['A PIC - BEL'],[],[],,
4,S1903M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F SWE - BAL'],[],[],,
5,S1903M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F AEG S A CON - BUL', 'F BLA S A CON - BUL', 'A CON - BUL']",[],[],,
6,S1903M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A VIE - TYR', 'F GRE S F ION - AEG', 'A BUL - SER']",[],[],,
0,F1903M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F BAL - DEN'],[],[],,
1,F1903M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
2,F1903M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['A BEL - HOL'],[],[],,
3,F1903M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A SER - BUL', 'F GRE S A SER - BUL']",[],[],,
4,F1903M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F SWE - BAL'],[],[],,
5,F1903M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F AEG - GRE', 'F BLA - RUM', 'A BUL S F AEG - GRE']",[],[],,
6,F1903M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F ION - TYS', 'A VEN - PIE']",[],[],,
0,W1903A,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F ANK B'],[],[],,
1,W1903A,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
2,W1903A,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
3,W1903A,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
4,W1903A,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
5,W1903A,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
6,W1903A,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
0,S1904M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F DEN - SWE'],[],[],,
1,S1904M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
2,S1904M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A SER S F GRE', 'A VIE - TYR', 'F GRE S F TYS - ION']",[],[],,
3,S1904M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F BAL - DEN'],[],[],,
4,S1904M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F AEG - GRE', 'F BLA S A BUL - RUM', 'F ANK - ARM', 'A BUL - RUM']",[],[],,
5,S1904M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F TYS - ION', 'A PIE - TYR']",[],[],,
6,S1904M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['A BEL - PIC'],[],[],,
0,S1904R,RUSSIA,1,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
0,F1904M,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F SWE - DEN'],[],[],,
1,F1904M,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['F ENG C A WAL - BEL'],[],[],,
2,F1904M,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F ION - TYS', 'A ROM - TUS']",[],[],,
3,F1904M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['A SER - BUL', 'F GRE S A SER - BUL']",[],[],,
4,F1904M,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
5,F1904M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F DEN - SWE', 'A HOL - BEL']",[],[],,
6,F1904M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['A PIC - BEL'],[],[],,
0,W1904A,RUSSIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
1,W1904A,TURKEY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
2,W1904A,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
3,W1904A,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
4,W1904A,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
5,W1904A,ITALY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
6,W1904A,ENGLAND,4,NoPressAgent(key=36),Orders from no-press baseline policy.,[],[],[],,
0,S1905M,GERMANY,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F DEN - SWE', 'A HOL - BEL']",[],[],,
1,S1905M,FRANCE,4,NoPressAgent(key=36),Orders from no-press baseline policy.,['A PIC - BEL'],[],[],,
2,S1905M,AUSTRIA,4,NoPressAgent(key=36),Orders from no-press baseline policy.,"['F GRE - BUL/SC', 'A BUL - SER']",[],[],,
