,phase,round,sender,recipient,message
0,S1901M,1,TURKEY,AUSTRIA,"Hello Austria, I hope we can work together. I'm considering moving toward Rumania and would appreciate any insights on your plans in the region."
1,S1901M,1,TURKEY,RUSSIA,"Greetings Russia, I noticed you have quite a strong position this early. I'm planning to secure Rumania soon; I hope we can maintain peaceful relations."
2,S1901M,1,TURKEY,ITALY,"Hi Italy, I wanted to touch base with you regarding our borders. I'm interested in focusing on the Balkans and would like to know your plans."
3,S1901M,1,TURKEY,GLOBAL,Looking forward to a great game everyone! Let's keep our lines of communication open as we navigate these early moves.
4,S1901M,1,FRANCE,GERMANY,Hello! Looking forward to working together. What are your thoughts on the early game? Any plans regarding Belgium?
5,S1901M,1,FRANCE,ENGLAND,Hi there! I hope we can maintain a good relationship. How do you feel about our positions? Any thoughts on the Channel?
6,S1901M,1,FRANCE,ITALY,Hey! I'm curious about your intentions in the Mediterranean. It would be great to establish some early communication.
7,S1901M,1,FRANCE,TURKEY,Hello! Excited to see how this game unfolds. Let's keep our lines open as we both explore opportunities.
8,S1901M,1,ENGLAND,FRANCE,"Hey France, I see you're interested in the Channel. Would you be open to discussing our strategies for that area? It could be beneficial for both of us to maintain a friendly stance."
9,S1901M,1,ENGLAND,TURKEY,Hi Turkey! Looking forward to our discussions. How do you see your initial moves? I'm interested in keeping communication lines open as we start off.
10,S1901M,1,ENGLAND,GERMANY,"Hi Germany, just wanted to say hello! How do you feel about the initial positions? Any thoughts on potential collaborations?"
11,S1901M,1,ENGLAND,GLOBAL,Hello everyone! Excited to see how this game unfolds. Let's keep the lines of communication open.
12,S1901M,1,GERMANY,FRANCE,Hi France! I'm considering moving to Belgium this turn. How do you feel about our positions? Any thoughts on potential cooperation?
13,S1901M,1,GERMANY,ENGLAND,Hello England! I’m planning to move to Belgium. What are your thoughts on collaborating in the early game?
14,S1901M,1,GERMANY,TURKEY,Hi Turkey! Excited for this game! Do you have any plans for your initial moves?
15,S1901M,1,AUSTRIA,TURKEY,"Hey Turkey, I'm considering supporting your move to Rumania this turn. I think it would benefit us both. What are your thoughts?"
16,S1901M,1,AUSTRIA,GLOBAL,Hello everyone! Looking forward to a cooperative game. Let's see how we can all work together for mutual benefit.
17,S1901M,1,RUSSIA,TURKEY,"Hey Turkey, I see you're eyeing Rumania. How about we discuss a way to ensure we can both secure our interests without conflict?"
18,S1901M,1,RUSSIA,AUSTRIA,"Hello Austria, I'm interested in discussing how we might cooperate early on to ensure a stable and peaceful region."
19,S1901M,1,RUSSIA,ENGLAND,"Hi England, I'm curious about your plans in the north. Do you see any potential for collaboration, particularly with Norway or Sweden?"
20,S1901M,1,RUSSIA,GLOBAL,Looking forward to a great game everyone! Let's keep communication open as we navigate these early moves.
21,S1901M,1,ITALY,TURKEY,"Hi Turkey, thanks for reaching out! I appreciate your focus on the Balkans. I'm considering my movements and would like to keep lines of communication open. How do you see our borders working out?"
22,S1901M,1,ITALY,FRANCE,Hello France! I'm glad to hear from you. I am planning to secure my position in the Mediterranean and would love to discuss any potential collaborations we could have.
23,S1901M,1,ITALY,AUSTRIA,Hi Austria! I'm open to discussing how we might cooperate in the coming turns. Let's keep the lines open!
24,S1901M,1,ITALY,GLOBAL,Looking forward to a great game with everyone! Let’s work together to make it an exciting experience.
25,S1901M,2,ENGLAND,FRANCE,"Hi France, I'm planning to move my fleet to the North Sea and hold my fleet in the Channel. This should allow us to maintain a friendly relationship there. Let me know if you have any thoughts on this."
26,S1901M,2,ENGLAND,GERMANY,"Hi Germany, I see you're moving to Belgium. I might be looking at a move to Wales. Let’s keep an eye on each other’s moves to avoid conflicts."
27,S1901M,2,ENGLAND,TURKEY,"Hey Turkey, how are you planning to move in the early game? I'm interested in seeing if we can collaborate in some way."
28,S1901M,2,ENGLAND,RUSSIA,"Hi Russia, I noticed you're in a strong position with four units. Do you see any room for collaboration in the north? It could be beneficial for both of us."
29,S1901M,2,AUSTRIA,TURKEY,"Hey Turkey, I'm planning to support your move to Rumania with my army from Budapest. Let's work together to secure our positions!"
30,S1901M,2,AUSTRIA,ITALY,"Hi Italy, I'm interested in discussing how we might cooperate in the Adriatic and surrounding areas. What are your thoughts?"
31,S1901M,2,AUSTRIA,RUSSIA,"Hello Russia, I appreciate your interest in cooperation. I'd like to keep communication open as we both navigate these early moves."
32,S1901M,2,TURKEY,AUSTRIA,Thank you for offering your support to help me secure Rumania. I'm moving A CON to RUM with your support. Let's keep the lines of communication open as we progress.
33,S1901M,2,TURKEY,RUSSIA,I appreciate your interest in a peaceful resolution regarding Rumania. I'm moving to secure it this turn but would love to discuss our borders further.
34,S1901M,2,TURKEY,ITALY,Thanks for the chat! I'm focusing on the Balkans for now but will keep you updated on any developments.
35,S1901M,2,TURKEY,GLOBAL,I'm looking forward to seeing how our alliances shape the early game. Let's keep communication flowing!
36,S1901M,2,GERMANY,FRANCE,Hi France! Just confirming my move to Belgium this turn. I hope we can both benefit from our cooperation. Looking forward to your thoughts.
37,S1901M,2,GERMANY,ENGLAND,Hey England! I'm going ahead with my move to Belgium. Let's keep an eye on each other's movements. I believe we can avoid conflicts this way.
38,S1901M,2,GERMANY,TURKEY,Hi Turkey! I'm curious about your plans for the early game. Any specific moves you're considering?
39,S1901M,2,GERMANY,AUSTRIA,Hello Austria! I'm interested in hearing about your initial plans. Any opportunities for collaboration in the future?
40,S1901M,2,ITALY,TURKEY,"Hey Turkey, I'm moving my fleet into the Ionian Sea. I'm keeping my army in Venice for now to help with our borders. How do you see our partnership developing in the Balkans?"
41,S1901M,2,ITALY,FRANCE,"Hi France, I’m moving into the Ionian and consolidating in Venice. I’m keen on cooperation in the Mediterranean. Do you have any plans for this area?"
42,S1901M,2,ITALY,AUSTRIA,"Hello Austria, I’m moving my units strategically in the Adriatic. I’m open to discussing how we can work together as we move forward. What are your thoughts?"
43,S1901M,2,ITALY,GLOBAL,Let’s keep the communication flowing! Excited to see how we can all work together this game.
44,S1901M,2,FRANCE,GERMANY,"Hey Germany, I see you’re moving to Belgium. Would you be open to discussing how we can cooperate in the future? I’d like to ensure our borders are secure."
45,S1901M,2,FRANCE,ENGLAND,"Hi England, I appreciate your strategy in the Channel. I’ll be moving to support that area. Let’s keep the communication open and ensure we both feel secure."
46,S1901M,2,FRANCE,ITALY,"Hi Italy, I see you’re making moves in the Mediterranean. I’d love to discuss how we can cooperate there. What are your thoughts on potential alliances?"
47,S1901M,2,FRANCE,TURKEY,"Hey Turkey, I'm curious about your movements in the early game. Let’s keep each other informed as we navigate these early turns."
48,S1901M,2,RUSSIA,TURKEY,"Hey Turkey, I see you're planning to move into Romania. I'm considering moving my forces in a way that will allow us to both secure our interests without conflict. Let's keep the lines of communication open as we navigate this."
49,S1901M,2,RUSSIA,AUSTRIA,"Hi Austria, I'm glad to hear you're open to cooperation. I believe that aligning our strategies early can be beneficial. Let's keep discussing our options."
50,S1901M,2,RUSSIA,ENGLAND,"Hi England, I appreciate your interest in collaboration. If you have any specific plans for the north, I'd like to know how we might be able to coordinate."
51,S1901M,2,RUSSIA,GLOBAL,Looking forward to working with everyone. Let's keep communication flowing as we navigate these early moves!
52,S1901M,3,TURKEY,AUSTRIA,Thanks for your support in helping me secure Rumania! I'm moving my Army to Rumania with your assistance.
53,S1901M,3,TURKEY,RUSSIA,I appreciate your willingness to discuss peaceful relations. I'm moving to secure Rumania now but look forward to further dialogue on our borders.
54,S1901M,3,TURKEY,ITALY,Thanks for keeping me updated on your movements. I'm focusing on securing Rumania with Austria's help and will keep you informed of any developments.
55,S1901M,3,TURKEY,GLOBAL,Let's keep communication open as we navigate these early moves. I'm looking forward to collaborating with everyone!
56,S1901M,3,GERMANY,FRANCE,Hi France! I'm moving to Belgium this turn and looking forward to our cooperation. What are your thoughts on how we can ensure our borders remain secure?
57,S1901M,3,GERMANY,ENGLAND,"Hello England! As I'm moving to Belgium, I hope we can coordinate our movements to avoid any conflict. What do you think about our positions?"
58,S1901M,3,GERMANY,TURKEY,Hi Turkey! I'd love to hear more about your plans for your initial moves. Do you see any potential collaborations with other powers?
59,S1901M,3,GERMANY,AUSTRIA,Hello Austria! I'm curious about your initial plans. Any thoughts on how we can potentially collaborate in the early game?
60,S1901M,3,RUSSIA,TURKEY,"I see you're planning to secure Rumania this turn. If you need any support, let me know! I’m keen on keeping our borders friendly."
61,S1901M,3,RUSSIA,AUSTRIA,I hope you’re on board with a peaceful resolution as we all position ourselves. Let’s keep the lines of communication open.
62,S1901M,3,RUSSIA,ENGLAND,I appreciate your interest in collaboration. Are you planning any movements towards the north? I think there's potential for us to coordinate.
63,S1901M,3,RUSSIA,GLOBAL,Looking forward to a great game with everyone! Let's ensure we keep communication flowing as we navigate our early moves.
64,S1901M,3,ENGLAND,FRANCE,"Hey France, I appreciate your support in the Channel! I’m planning to move my fleet from EDI to NWG and hold in the Channel. Let’s keep this momentum going!"
65,S1901M,3,ENGLAND,GERMANY,Hi Germany! I see you're moving to Belgium. I’ll be moving my units towards Wales and NWG. Let’s keep each other informed to avoid any potential clashes.
66,S1901M,3,ENGLAND,RUSSIA,"Hi Russia, I’d like to discuss any potential cooperation in the North. How do you view the situation with Norway and Sweden? I'm open to ideas."
67,S1901M,3,FRANCE,GERMANY,"Hey Germany, I see you're moving to Belgium. Let's keep communication open and discuss how we can work together moving forward."
68,S1901M,3,FRANCE,ENGLAND,"Hi England, I'll be supporting your position in the Channel to maintain our friendly relationship. Let me know if you have any other thoughts!"
69,S1901M,3,FRANCE,ITALY,"Hey Italy, I'm keen to maintain a dialogue about our intentions in the Mediterranean. Let's see how we can align our interests."
70,S1901M,3,FRANCE,TURKEY,"Hi Turkey, I'd love to hear more about your early plans. Let's keep the lines of communication open."
